Model,Fold,Task,Train/Test,Type,AUC
MTMK mix,0,0,train,total,0.9997916666666667
MTMK mix,0,0,train,image,1.0
MTMK mix,0,0,train,text,0.9981249999999999
MTMK mix,0,0,test,total,0.8922222222222222
MTMK mix,0,0,test,image,0.91
MTMK mix,0,0,test,text,0.92
MTMK mix,0,1,train,total,0.9995138888888888
MTMK mix,0,1,train,image,1.0
MTMK mix,0,1,train,text,0.995625
MTMK mix,0,1,test,total,0.9099999999999999
MTMK mix,0,1,test,image,0.95
MTMK mix,0,1,test,text,0.99
MTMK mix,0,2,train,total,0.9976388888888889
MTMK mix,0,2,train,image,1.0
MTMK mix,0,2,train,text,0.97875
MTMK mix,0,2,test,total,0.9644444444444444
MTMK mix,0,2,test,image,1.0
MTMK mix,0,2,test,text,0.78
MTMK mix,0,3,train,total,1.0
MTMK mix,0,3,train,image,1.0
MTMK mix,0,3,train,text,1.0
MTMK mix,0,3,test,total,0.9111111111111111
MTMK mix,0,3,test,image,0.9500000000000001
MTMK mix,0,3,test,text,0.91
MTMK mix,0,4,train,total,0.9999305555555555
MTMK mix,0,4,train,image,1.0
MTMK mix,0,4,train,text,0.999375
MTMK mix,0,4,test,total,0.9177777777777778
MTMK mix,0,4,test,image,0.9550000000000001
MTMK mix,0,4,test,text,0.88
MTMK mix,0,5,train,total,0.9996527777777777
MTMK mix,0,5,train,image,1.0
MTMK mix,0,5,train,text,0.996875
MTMK mix,0,5,test,total,0.9933333333333334
MTMK mix,0,5,test,image,1.0
MTMK mix,0,5,test,text,0.9400000000000001
MTMK mix,0,AVG,train,total,0.9994212962962963
MTMK mix,0,AVG,train,image,1.0
MTMK mix,0,AVG,train,text,0.9947916666666666
MTMK mix,0,AVG,test,total,0.9314814814814815
MTMK mix,0,AVG,test,image,0.9608333333333334
MTMK mix,0,AVG,test,text,0.9033333333333334
MTMK mix,1,0,train,total,0.9996527777777777
MTMK mix,1,0,train,image,1.0
MTMK mix,1,0,train,text,0.9968750000000001
MTMK mix,1,0,test,total,0.7922222222222222
MTMK mix,1,0,test,image,0.7750000000000001
MTMK mix,1,0,test,text,0.95
MTMK mix,1,1,train,total,0.9993749999999999
MTMK mix,1,1,train,image,1.0
MTMK mix,1,1,train,text,0.994375
MTMK mix,1,1,test,total,0.9566666666666667
MTMK mix,1,1,test,image,0.9800000000000001
MTMK mix,1,1,test,text,1.0
MTMK mix,1,2,train,total,0.9976388888888889
MTMK mix,1,2,train,image,1.0
MTMK mix,1,2,train,text,0.97875
MTMK mix,1,2,test,total,0.9744444444444444
MTMK mix,1,2,test,image,1.0
MTMK mix,1,2,test,text,0.7700000000000001
MTMK mix,1,3,train,total,0.9997222222222222
MTMK mix,1,3,train,image,1.0
MTMK mix,1,3,train,text,0.9974999999999999
MTMK mix,1,3,test,total,0.84
MTMK mix,1,3,test,image,0.8925
MTMK mix,1,3,test,text,0.92
MTMK mix,1,4,train,total,1.0
MTMK mix,1,4,train,image,1.0
MTMK mix,1,4,train,text,1.0
MTMK mix,1,4,test,total,0.8855555555555555
MTMK mix,1,4,test,image,0.9025
MTMK mix,1,4,test,text,0.76
MTMK mix,1,5,train,total,0.9995138888888888
MTMK mix,1,5,train,image,1.0
MTMK mix,1,5,train,text,0.995625
MTMK mix,1,5,test,total,1.0
MTMK mix,1,5,test,image,1.0
MTMK mix,1,5,test,text,1.0
MTMK mix,1,AVG,train,total,0.9993171296296297
MTMK mix,1,AVG,train,image,1.0
MTMK mix,1,AVG,train,text,0.9938541666666666
MTMK mix,1,AVG,test,total,0.9081481481481481
MTMK mix,1,AVG,test,image,0.9250000000000002
MTMK mix,1,AVG,test,text,0.9
MTMK mix,2,0,train,total,0.9996180555555556
MTMK mix,2,0,train,image,0.9999218750000001
MTMK mix,2,0,train,text,0.9975
MTMK mix,2,0,test,total,0.8055555555555556
MTMK mix,2,0,test,image,0.79
MTMK mix,2,0,test,text,0.89
MTMK mix,2,1,train,total,0.999375
MTMK mix,2,1,train,image,1.0
MTMK mix,2,1,train,text,0.995625
MTMK mix,2,1,test,total,0.8122222222222222
MTMK mix,2,1,test,image,0.8424999999999999
MTMK mix,2,1,test,text,1.0
MTMK mix,2,2,train,total,0.9978472222222222
MTMK mix,2,2,train,image,1.0
MTMK mix,2,2,train,text,0.9806250000000001
MTMK mix,2,2,test,total,0.9455555555555555
MTMK mix,2,2,test,image,1.0
MTMK mix,2,2,test,text,0.61
MTMK mix,2,3,train,total,1.0
MTMK mix,2,3,train,image,1.0
MTMK mix,2,3,train,text,1.0
MTMK mix,2,3,test,total,0.8355555555555556
MTMK mix,2,3,test,image,0.8725
MTMK mix,2,3,test,text,0.73
MTMK mix,2,4,train,total,0.9997916666666666
MTMK mix,2,4,train,image,1.0
MTMK mix,2,4,train,text,0.9981249999999999
MTMK mix,2,4,test,total,0.9422222222222223
MTMK mix,2,4,test,image,0.98
MTMK mix,2,4,test,text,0.8600000000000001
MTMK mix,2,5,train,total,0.9997222222222222
MTMK mix,2,5,train,image,1.0
MTMK mix,2,5,train,text,0.9974999999999999
MTMK mix,2,5,test,total,0.9822222222222222
MTMK mix,2,5,test,image,1.0
MTMK mix,2,5,test,text,0.9400000000000001
MTMK mix,2,AVG,train,total,0.9993923611111111
MTMK mix,2,AVG,train,image,0.9999869791666667
MTMK mix,2,AVG,train,text,0.9948958333333332
MTMK mix,2,AVG,test,total,0.8872222222222222
MTMK mix,2,AVG,test,image,0.9141666666666666
MTMK mix,2,AVG,test,text,0.8383333333333334
MTMK mix,3,0,train,total,0.9996875
MTMK mix,3,0,train,image,0.9999218750000001
MTMK mix,3,0,train,text,0.99875
MTMK mix,3,0,test,total,0.88
MTMK mix,3,0,test,image,0.8975000000000001
MTMK mix,3,0,test,text,0.93
MTMK mix,3,1,train,total,0.9997916666666666
MTMK mix,3,1,train,image,1.0
MTMK mix,3,1,train,text,0.998125
MTMK mix,3,1,test,total,0.7833333333333333
MTMK mix,3,1,test,image,0.8125
MTMK mix,3,1,test,text,0.91
MTMK mix,3,2,train,total,0.9975694444444445
MTMK mix,3,2,train,image,1.0
MTMK mix,3,2,train,text,0.978125
MTMK mix,3,2,test,total,0.9433333333333334
MTMK mix,3,2,test,image,0.9775
MTMK mix,3,2,test,text,0.8799999999999999
MTMK mix,3,3,train,total,0.9999305555555555
MTMK mix,3,3,train,image,1.0
MTMK mix,3,3,train,text,0.999375
MTMK mix,3,3,test,total,0.8122222222222222
MTMK mix,3,3,test,image,0.81
MTMK mix,3,3,test,text,0.96
MTMK mix,3,4,train,total,1.0
MTMK mix,3,4,train,image,1.0
MTMK mix,3,4,train,text,1.0
MTMK mix,3,4,test,total,0.9488888888888889
MTMK mix,3,4,test,image,0.995
MTMK mix,3,4,test,text,0.86
MTMK mix,3,5,train,total,0.9998611111111111
MTMK mix,3,5,train,image,1.0
MTMK mix,3,5,train,text,0.9987499999999999
MTMK mix,3,5,test,total,1.0
MTMK mix,3,5,test,image,1.0
MTMK mix,3,5,test,text,1.0
MTMK mix,3,AVG,train,total,0.9994733796296297
MTMK mix,3,AVG,train,image,0.9999869791666667
MTMK mix,3,AVG,train,text,0.9955208333333334
MTMK mix,3,AVG,test,total,0.8946296296296296
MTMK mix,3,AVG,test,image,0.9154166666666667
MTMK mix,3,AVG,test,text,0.9233333333333333
MTMK mix,4,0,train,total,0.9992013888888889
MTMK mix,4,0,train,image,0.9999218750000001
MTMK mix,4,0,train,text,0.995
MTMK mix,4,0,test,total,0.8711111111111112
MTMK mix,4,0,test,image,0.8975
MTMK mix,4,0,test,text,0.8999999999999999
MTMK mix,4,1,train,total,0.9994444444444445
MTMK mix,4,1,train,image,1.0
MTMK mix,4,1,train,text,0.995
MTMK mix,4,1,test,total,0.8233333333333334
MTMK mix,4,1,test,image,0.8525
MTMK mix,4,1,test,text,1.0
MTMK mix,4,2,train,total,0.9970138888888889
MTMK mix,4,2,train,image,1.0
MTMK mix,4,2,train,text,0.973125
MTMK mix,4,2,test,total,0.9766666666666667
MTMK mix,4,2,test,image,1.0
MTMK mix,4,2,test,text,0.89
MTMK mix,4,3,train,total,0.9999305555555555
MTMK mix,4,3,train,image,1.0
MTMK mix,4,3,train,text,0.999375
MTMK mix,4,3,test,total,0.89
MTMK mix,4,3,test,image,0.9299999999999999
MTMK mix,4,3,test,text,0.87
MTMK mix,4,4,train,total,0.999375
MTMK mix,4,4,train,image,1.0
MTMK mix,4,4,train,text,0.994375
MTMK mix,4,4,test,total,0.9355555555555555
MTMK mix,4,4,test,image,0.9575
MTMK mix,4,4,test,text,0.8899999999999999
MTMK mix,4,5,train,total,0.9997222222222222
MTMK mix,4,5,train,image,1.0
MTMK mix,4,5,train,text,0.9974999999999999
MTMK mix,4,5,test,total,0.9977777777777778
MTMK mix,4,5,test,image,1.0
MTMK mix,4,5,test,text,0.98
MTMK mix,4,AVG,train,total,0.9991145833333333
MTMK mix,4,AVG,train,image,0.9999869791666667
MTMK mix,4,AVG,train,text,0.9923958333333333
MTMK mix,4,AVG,test,total,0.9157407407407407
MTMK mix,4,AVG,test,image,0.9395833333333332
MTMK mix,4,AVG,test,text,0.9216666666666665
MTMK mix,AVG,0,train,total,0.9995902777777778
MTMK mix,AVG,0,train,image,0.999953125
MTMK mix,AVG,0,train,text,0.99725
MTMK mix,AVG,0,test,total,0.8482222222222223
MTMK mix,AVG,0,test,image,0.8539999999999999
MTMK mix,AVG,0,test,text,0.9179999999999999
MTMK mix,AVG,1,train,total,0.9994999999999999
MTMK mix,AVG,1,train,image,1.0
MTMK mix,AVG,1,train,text,0.9957499999999999
MTMK mix,AVG,1,test,total,0.8571111111111112
MTMK mix,AVG,1,test,image,0.8875
MTMK mix,AVG,1,test,text,0.9800000000000001
MTMK mix,AVG,2,train,total,0.9975416666666665
MTMK mix,AVG,2,train,image,1.0
MTMK mix,AVG,2,train,text,0.977875
MTMK mix,AVG,2,test,total,0.9608888888888888
MTMK mix,AVG,2,test,image,0.9955
MTMK mix,AVG,2,test,text,0.786
MTMK mix,AVG,3,train,total,0.9999166666666666
MTMK mix,AVG,3,train,image,1.0
MTMK mix,AVG,3,train,text,0.99925
MTMK mix,AVG,3,test,total,0.8577777777777778
MTMK mix,AVG,3,test,image,0.891
MTMK mix,AVG,3,test,text,0.8779999999999999
MTMK mix,AVG,4,train,total,0.9998194444444444
MTMK mix,AVG,4,train,image,1.0
MTMK mix,AVG,4,train,text,0.998375
MTMK mix,AVG,4,test,total,0.9259999999999999
MTMK mix,AVG,4,test,image,0.958
MTMK mix,AVG,4,test,text,0.85
MTMK mix,AVG,5,train,total,0.9996944444444444
MTMK mix,AVG,5,train,image,1.0
MTMK mix,AVG,5,train,text,0.9972499999999999
MTMK mix,AVG,5,test,total,0.9946666666666667
MTMK mix,AVG,5,test,image,1.0
MTMK mix,AVG,5,test,text,0.9719999999999999
MTMK mix,AVG,AVG,train,total,0.99934375
MTMK mix,AVG,AVG,train,image,0.9999921875000001
MTMK mix,AVG,AVG,train,text,0.9942916666666668
MTMK mix,AVG,AVG,test,total,0.9074444444444445
MTMK mix,AVG,AVG,test,image,0.9309999999999999
MTMK mix,AVG,AVG,test,text,0.8973333333333334
